Path|Owners|Online?|PS (2e34)|Datasets (SmartPS)|Streams|L1T Seed
HLT_PFJetFwd400_v26|SMP|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200
HLT_PFJetFwd450_v26|SMP|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200
HLT_PFJetFwd500_v26|SMP|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200
HLT_AK8PFJetFwd40_v22|SMP|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_ZeroBias
HLT_AK8PFJetFwd60_v21|SMP|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_ZeroBias
HLT_AK8PFJetFwd80_v21|SMP|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_SingleJet60_FWD2p5
HLT_AK8PFJetFwd140_v21|SMP|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_SingleJet90_FWD2p5
HLT_AK8PFJetFwd200_v21|SMP|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_SingleJet120_FWD2p5
HLT_AK8PFJetFwd260_v22|SMP|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200
HLT_AK8PFJetFwd320_v22|SMP|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200
HLT_AK8PFJetFwd400_v22|SMP|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200
HLT_AK8PFJetFwd450_v22|SMP|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200
HLT_AK8PFJetFwd500_v22|SMP|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_SingleJet160er2p5 OR L1_SingleJet180 OR L1_SingleJet200
HLT_PFHT180_v24|SUS|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_HTT120er
HLT_PFHT250_v24|SMP, SUS|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_HTT160er
HLT_PFHT370_v24|SUS|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_HTT200er
HLT_PFHT430_v24|SUS|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_HTT255er
HLT_PFHT510_v24|SUS|Yes||HLTMonitor(3), JetMET0, JetMET1, OnlineMonitor|DQM, HLTMonitor, PhysicsJetMET0, PhysicsJetMET1|L1_HTT120er OR L1_HTT160er OR L1_HTT200er OR L1_HTT255er OR L1_HTT280er OR L1_HTT280er_QuadJet_70_55_40_35_er2p5 OR L1_HTT320er_QuadJet_80_60_er2p1_45_40_er2p3 OR L1_HTT320er_QuadJet_80_60_er2p1_50_45_er2p3 OR L1_HTT320er OR L1_HTT360er OR L1_ETT2000 OR L1_HTT400er OR L1_HTT450er
HLT_PFHT590_v24|SUS|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_HTT120er OR L1_HTT160er OR L1_HTT200er OR L1_HTT255er OR L1_HTT280er OR L1_HTT280er_QuadJet_70_55_40_35_er2p5 OR L1_HTT320er_QuadJet_80_60_er2p1_45_40_er2p3 OR L1_HTT320er_QuadJet_80_60_er2p1_50_45_er2p3 OR L1_HTT320er OR L1_HTT360er OR L1_ETT2000 OR L1_HTT400er OR L1_HTT450er
HLT_PFHT680_v24|SUS|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_HTT120er OR L1_HTT160er OR L1_HTT200er OR L1_HTT255er OR L1_HTT280er OR L1_HTT280er_QuadJet_70_55_40_35_er2p5 OR L1_HTT320er_QuadJet_80_60_er2p1_45_40_er2p3 OR L1_HTT320er_QuadJet_80_60_er2p1_50_45_er2p3 OR L1_HTT320er OR L1_HTT360er OR L1_ETT2000 OR L1_HTT400er OR L1_HTT450er
HLT_PFHT780_v24|SUS|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_HTT120er OR L1_HTT160er OR L1_HTT200er OR L1_HTT255er OR L1_HTT280er OR L1_HTT280er_QuadJet_70_55_40_35_er2p5 OR L1_HTT320er_QuadJet_80_60_er2p1_45_40_er2p3 OR L1_HTT320er_QuadJet_80_60_er2p1_50_45_er2p3 OR L1_HTT320er OR L1_HTT360er OR L1_ETT2000 OR L1_HTT400er OR L1_HTT450er
HLT_PFHT890_v24|SUS|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_HTT120er OR L1_HTT160er OR L1_HTT200er OR L1_HTT255er OR L1_HTT280er OR L1_HTT280er_QuadJet_70_55_40_35_er2p5 OR L1_HTT320er_QuadJet_80_60_er2p1_45_40_er2p3 OR L1_HTT320er_QuadJet_80_60_er2p1_50_45_er2p3 OR L1_HTT320er OR L1_HTT360er OR L1_ETT2000 OR L1_HTT400er OR L1_HTT450er
HLT_PFHT1050_v25|B2G, HIG, SUS, TOP|Yes||JetMET0, JetMET1, OnlineMonitor, ScoutingPFMonitor(10)|DQM, PhysicsJetMET0, PhysicsJetMET1, PhysicsScoutingPFMonitor|L1_HTT120er OR L1_HTT160er OR L1_HTT200er OR L1_HTT255er OR L1_HTT280er OR L1_HTT280er_QuadJet_70_55_40_35_er2p5 OR L1_HTT320er_QuadJet_80_60_er2p1_45_40_er2p3 OR L1_HTT320er_QuadJet_80_60_er2p1_50_45_er2p3 OR L1_HTT320er OR L1_HTT360er OR L1_ETT2000 OR L1_HTT400er OR L1_HTT450er
HLT_PFHT500_PFMET100_PFMHT100_IDTight_v19|HIG, SUS, TOP|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_HTT120er OR L1_HTT160er OR L1_HTT200er OR L1_HTT255er OR L1_HTT280er OR L1_HTT280er_QuadJet_70_55_40_35_er2p5 OR L1_HTT320er_QuadJet_80_60_er2p1_45_40_er2p3 OR L1_HTT320er_QuadJet_80_60_er2p1_50_45_er2p3 OR L1_HTT320er OR L1_HTT360er OR L1_ETT2000 OR L1_HTT400er OR L1_HTT450er
HLT_PFHT500_PFMET110_PFMHT110_IDTight_v19|SUS|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_HTT120er OR L1_HTT160er OR L1_HTT200er OR L1_HTT255er OR L1_HTT280er OR L1_HTT280er_QuadJet_70_55_40_35_er2p5 OR L1_HTT320er_QuadJet_80_60_er2p1_45_40_er2p3 OR L1_HTT320er_QuadJet_80_60_er2p1_50_45_er2p3 OR L1_HTT320er OR L1_HTT360er OR L1_ETT2000 OR L1_HTT400er OR L1_HTT450er
HLT_PFHT700_PFMET85_PFMHT85_IDTight_v19|HIG, TOP|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_HTT120er OR L1_HTT160er OR L1_HTT200er OR L1_HTT255er OR L1_HTT280er OR L1_HTT280er_QuadJet_70_55_40_35_er2p5 OR L1_HTT320er_QuadJet_80_60_er2p1_45_40_er2p3 OR L1_HTT320er_QuadJet_80_60_er2p1_50_45_er2p3 OR L1_HTT320er OR L1_HTT360er OR L1_ETT2000 OR L1_HTT400er OR L1_HTT450er
HLT_PFHT800_PFMET75_PFMHT75_IDTight_v19|HIG, TOP|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_HTT120er OR L1_HTT160er OR L1_HTT200er OR L1_HTT255er OR L1_HTT280er OR L1_HTT280er_QuadJet_70_55_40_35_er2p5 OR L1_HTT320er_QuadJet_80_60_er2p1_45_40_er2p3 OR L1_HTT320er_QuadJet_80_60_er2p1_50_45_er2p3 OR L1_HTT320er OR L1_HTT360er OR L1_ETT2000 OR L1_HTT400er OR L1_HTT450er
HLT_PFMET120_PFMHT120_IDTight_v27|B2G, HIG, JME, SUS, TOP|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF130 OR L1_ETMHF140 OR L1_ETMHF150 OR L1_ETM150 OR L1_ETMHF80_SingleJet55er2p5_dPhi_Min2p1 OR L1_ETMHF80_SingleJet55er2p5_dPhi_Min2p6 OR L1_ETMHF90_SingleJet60er2p5_dPhi_Min2p1 OR L1_ETMHF90_SingleJet60er2p5_dPhi_Min2p6
HLT_PFMET130_PFMHT130_IDTight_v27|B2G, JME, SUS|Yes||HLTMonitor(25), JetMET0, JetMET1, OnlineMonitor|DQM, HLTMonitor, PhysicsJetMET0, PhysicsJetMET1|L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF130 OR L1_ETMHF140 OR L1_ETMHF150 OR L1_ETM150 OR L1_ETMHF80_SingleJet55er2p5_dPhi_Min2p1 OR L1_ETMHF80_SingleJet55er2p5_dPhi_Min2p6 OR L1_ETMHF90_SingleJet60er2p5_dPhi_Min2p1 OR L1_ETMHF90_SingleJet60er2p5_dPhi_Min2p6
HLT_PFMET140_PFMHT140_IDTight_v27|JME, SUS|Yes||HLTMonitor(15), JetMET0, JetMET1, OnlineMonitor|DQM, HLTMonitor, PhysicsJetMET0, PhysicsJetMET1|L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF130 OR L1_ETMHF140 OR L1_ETMHF150 OR L1_ETM150 OR L1_ETMHF80_SingleJet55er2p5_dPhi_Min2p1 OR L1_ETMHF80_SingleJet55er2p5_dPhi_Min2p6 OR L1_ETMHF90_SingleJet60er2p5_dPhi_Min2p1 OR L1_ETMHF90_SingleJet60er2p5_dPhi_Min2p6
HLT_PFMET120_PFMHT120_IDTight_PFHT60_v16|HIG, JME, SUS, TOP|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_ETMHF70_HTT60er OR L1_ETMHF80_HTT60er OR L1_ETMHF90_HTT60er OR L1_ETMHF100_HTT60er OR L1_ETMHF110_HTT60er OR L1_ETMHF120_HTT60er OR L1_ETMHF130_HTT60er
HLT_PFMETNoMu120_PFMHTNoMu120_IDTight_PFHT60_v16|HIG, JME, SUS, TOP|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_ETMHF70_HTT60er OR L1_ETMHF80_HTT60er OR L1_ETMHF90_HTT60er OR L1_ETMHF100_HTT60er OR L1_ETMHF110_HTT60er OR L1_ETMHF120_HTT60er OR L1_ETMHF130_HTT60er
HLT_PFMETTypeOne140_PFMHT140_IDTight_v18|B2G, JME, SUS, TOP|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF130 OR L1_ETMHF140 OR L1_ETMHF150 OR L1_ETM150 OR L1_ETMHF80_SingleJet55er2p5_dPhi_Min2p1 OR L1_ETMHF80_SingleJet55er2p5_dPhi_Min2p6 OR L1_ETMHF90_SingleJet60er2p5_dPhi_Min2p1 OR L1_ETMHF90_SingleJet60er2p5_dPhi_Min2p6
HLT_PFMETNoMu120_PFMHTNoMu120_IDTight_v27|B2G, HIG, JME, SMP, SUS, TOP|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF130 OR L1_ETMHF140 OR L1_ETMHF150 OR L1_ETM150 OR L1_ETMHF80_SingleJet55er2p5_dPhi_Min2p1 OR L1_ETMHF80_SingleJet55er2p5_dPhi_Min2p6 OR L1_ETMHF90_SingleJet60er2p5_dPhi_Min2p1 OR L1_ETMHF90_SingleJet60er2p5_dPhi_Min2p6
HLT_PFMETNoMu130_PFMHTNoMu130_IDTight_v26|B2G, JME, SUS|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF130 OR L1_ETMHF140 OR L1_ETMHF150 OR L1_ETM150 OR L1_ETMHF80_SingleJet55er2p5_dPhi_Min2p1 OR L1_ETMHF80_SingleJet55er2p5_dPhi_Min2p6 OR L1_ETMHF90_SingleJet60er2p5_dPhi_Min2p1 OR L1_ETMHF90_SingleJet60er2p5_dPhi_Min2p6
HLT_PFMETNoMu140_PFMHTNoMu140_IDTight_v26|B2G, JME, SUS|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF130 OR L1_ETMHF140 OR L1_ETMHF150 OR L1_ETM150 OR L1_ETMHF80_SingleJet55er2p5_dPhi_Min2p1 OR L1_ETMHF80_SingleJet55er2p5_dPhi_Min2p6 OR L1_ETMHF90_SingleJet60er2p5_dPhi_Min2p1 OR L1_ETMHF90_SingleJet60er2p5_dPhi_Min2p6
HLT_PFMETNoMu110_PFMHTNoMu110_IDTight_FilterHF_v7|EXO|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF130 OR L1_ETMHF140 OR L1_ETMHF150 OR L1_ETM150 OR L1_ETMHF80_SingleJet55er2p5_dPhi_Min2p1 OR L1_ETMHF80_SingleJet55er2p5_dPhi_Min2p6 OR L1_ETMHF90_SingleJet60er2p5_dPhi_Min2p1 OR L1_ETMHF90_SingleJet60er2p5_dPhi_Min2p6
HLT_PFMETNoMu120_PFMHTNoMu120_IDTight_FilterHF_v7|EXO|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF130 OR L1_ETMHF140 OR L1_ETMHF150 OR L1_ETM150 OR L1_ETMHF80_SingleJet55er2p5_dPhi_Min2p1 OR L1_ETMHF80_SingleJet55er2p5_dPhi_Min2p6 OR L1_ETMHF90_SingleJet60er2p5_dPhi_Min2p1 OR L1_ETMHF90_SingleJet60er2p5_dPhi_Min2p6
HLT_PFMETNoMu130_PFMHTNoMu130_IDTight_FilterHF_v7|EXO|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF130 OR L1_ETMHF140 OR L1_ETMHF150 OR L1_ETM150 OR L1_ETMHF80_SingleJet55er2p5_dPhi_Min2p1 OR L1_ETMHF80_SingleJet55er2p5_dPhi_Min2p6 OR L1_ETMHF90_SingleJet60er2p5_dPhi_Min2p1 OR L1_ETMHF90_SingleJet60er2p5_dPhi_Min2p6
HLT_PFMETNoMu140_PFMHTNoMu140_IDTight_FilterHF_v7|EXO|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF130 OR L1_ETMHF140 OR L1_ETMHF150 OR L1_ETM150 OR L1_ETMHF80_SingleJet55er2p5_dPhi_Min2p1 OR L1_ETMHF80_SingleJet55er2p5_dPhi_Min2p6 OR L1_ETMHF90_SingleJet60er2p5_dPhi_Min2p1 OR L1_ETMHF90_SingleJet60er2p5_dPhi_Min2p6
HLT_L1ETMHadSeeds_v7|JME|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF130 OR L1_ETMHF140 OR L1_ETMHF150 OR L1_ETM150 OR L1_ETMHF80_SingleJet55er2p5_dPhi_Min2p1 OR L1_ETMHF80_SingleJet55er2p5_dPhi_Min2p6 OR L1_ETMHF90_SingleJet60er2p5_dPhi_Min2p1 OR L1_ETMHF90_SingleJet60er2p5_dPhi_Min2p6
HLT_CaloMHT90_v11|JME|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF130 OR L1_ETMHF140 OR L1_ETMHF150 OR L1_ETM150 OR L1_ETMHF80_SingleJet55er2p5_dPhi_Min2p1 OR L1_ETMHF80_SingleJet55er2p5_dPhi_Min2p6 OR L1_ETMHF90_SingleJet60er2p5_dPhi_Min2p1 OR L1_ETMHF90_SingleJet60er2p5_dPhi_Min2p6
HLT_CaloMET90_NotCleaned_v11|JME|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF130 OR L1_ETMHF140 OR L1_ETMHF150 OR L1_ETM150 OR L1_ETMHF80_SingleJet55er2p5_dPhi_Min2p1 OR L1_ETMHF80_SingleJet55er2p5_dPhi_Min2p6 OR L1_ETMHF90_SingleJet60er2p5_dPhi_Min2p1 OR L1_ETMHF90_SingleJet60er2p5_dPhi_Min2p6
HLT_CaloMET350_NotCleaned_v11|HIG|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF130 OR L1_ETMHF140 OR L1_ETMHF150 OR L1_ETM150 OR L1_ETMHF80_SingleJet55er2p5_dPhi_Min2p1 OR L1_ETMHF80_SingleJet55er2p5_dPhi_Min2p6 OR L1_ETMHF90_SingleJet60er2p5_dPhi_Min2p1 OR L1_ETMHF90_SingleJet60er2p5_dPhi_Min2p6
HLT_PFMET200_NotCleaned_v16|B2G, JME|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF130 OR L1_ETMHF140 OR L1_ETMHF150 OR L1_ETM150 OR L1_ETMHF80_SingleJet55er2p5_dPhi_Min2p1 OR L1_ETMHF80_SingleJet55er2p5_dPhi_Min2p6 OR L1_ETMHF90_SingleJet60er2p5_dPhi_Min2p1 OR L1_ETMHF90_SingleJet60er2p5_dPhi_Min2p6
HLT_PFMET250_NotCleaned_v16|HIG, JME|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF130 OR L1_ETMHF140 OR L1_ETMHF150 OR L1_ETM150 OR L1_ETMHF80_SingleJet55er2p5_dPhi_Min2p1 OR L1_ETMHF80_SingleJet55er2p5_dPhi_Min2p6 OR L1_ETMHF90_SingleJet60er2p5_dPhi_Min2p1 OR L1_ETMHF90_SingleJet60er2p5_dPhi_Min2p6
HLT_PFMET300_NotCleaned_v16|HIG, JME|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF130 OR L1_ETMHF140 OR L1_ETMHF150 OR L1_ETM150 OR L1_ETMHF80_SingleJet55er2p5_dPhi_Min2p1 OR L1_ETMHF80_SingleJet55er2p5_dPhi_Min2p6 OR L1_ETMHF90_SingleJet60er2p5_dPhi_Min2p1 OR L1_ETMHF90_SingleJet60er2p5_dPhi_Min2p6
HLT_PFMET200_BeamHaloCleaned_v16|B2G, HIG, JME, TOP|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF130 OR L1_ETMHF140 OR L1_ETMHF150 OR L1_ETM150 OR L1_ETMHF80_SingleJet55er2p5_dPhi_Min2p1 OR L1_ETMHF80_SingleJet55er2p5_dPhi_Min2p6 OR L1_ETMHF90_SingleJet60er2p5_dPhi_Min2p1 OR L1_ETMHF90_SingleJet60er2p5_dPhi_Min2p6
HLT_PFMETTypeOne200_BeamHaloCleaned_v16|JME|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF130 OR L1_ETMHF140 OR L1_ETMHF150 OR L1_ETM150 OR L1_ETMHF80_SingleJet55er2p5_dPhi_Min2p1 OR L1_ETMHF80_SingleJet55er2p5_dPhi_Min2p6 OR L1_ETMHF90_SingleJet60er2p5_dPhi_Min2p1 OR L1_ETMHF90_SingleJet60er2p5_dPhi_Min2p6
HLT_MET105_IsoTrk50_v16|EXO|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF130 OR L1_ETMHF140 OR L1_ETMHF150 OR L1_ETM150 OR L1_ETMHF70_HTT60er OR L1_ETMHF80_HTT60er OR L1_ETMHF90_HTT60er OR L1_ETMHF100_HTT60er OR L1_ETMHF110_HTT60er OR L1_ETMHF120_HTT60er OR L1_ETMHF130_HTT60er OR L1_ETMHF80_SingleJet55er2p5_dPhi_Min2p1 OR L1_ETMHF90_SingleJet60er2p5_dPhi_Min2p1
HLT_MET120_IsoTrk50_v16|EXO|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_ETMHF70 OR L1_ETMHF80 OR L1_ETMHF90 OR L1_ETMHF100 OR L1_ETMHF110 OR L1_ETMHF120 OR L1_ETMHF130 OR L1_ETMHF140 OR L1_ETMHF150 OR L1_ETM150 OR L1_ETMHF70_HTT60er OR L1_ETMHF80_HTT60er OR L1_ETMHF90_HTT60er OR L1_ETMHF100_HTT60er OR L1_ETMHF110_HTT60er OR L1_ETMHF120_HTT60er OR L1_ETMHF130_HTT60er OR L1_ETMHF80_SingleJet55er2p5_dPhi_Min2p1 OR L1_ETMHF90_SingleJet60er2p5_dPhi_Min2p1
HLT_Mu12eta2p3_v8|HIG|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_SingleMu7
HLT_Mu12eta2p3_PFJet40_v8|HIG|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_Mu3_Jet30er2p5
HLT_Mu12_DoublePFJets40_PNetBTag_0p11_v1|SUS|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_Mu3_Jet16er2p5_dR_Max0p4
HLT_Mu12_DoublePFJets100_PNetBTag_0p11_v1|SUS|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_Mu3_Jet60er2p5_dR_Max0p4
HLT_Mu12_DoublePFJets200_PNetBTag_0p11_v1|SUS|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_Mu3_Jet120er2p5_dR_Max0p4
HLT_Mu12_DoublePFJets350_PNetBTag_0p11_v1|SUS|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_Mu3_Jet120er2p5_dR_Max0p4
HLT_Mu12_DoublePFJets40MaxDeta1p6_PNet2BTag_0p11_v1|SUS|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_Mu10er2p3_Jet32er2p3_dR_Max0p4_DoubleJet32er2p3_dEta_Max1p6 OR L1_Mu12er2p3_Jet40er2p3_dR_Max0p4_DoubleJet40er2p3_dEta_Max1p6
HLT_Mu12_DoublePFJets54MaxDeta1p6_PNet2BTag_0p11_v1|SUS|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_Mu10er2p3_Jet32er2p3_dR_Max0p4_DoubleJet32er2p3_dEta_Max1p6 OR L1_Mu12er2p3_Jet40er2p3_dR_Max0p4_DoubleJet40er2p3_dEta_Max1p6
HLT_DoublePFJets40_PNetBTag_0p11_v1|SUS|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_DoubleJet40er2p5
HLT_DoublePFJets100_PNetBTag_0p11_v1|SUS|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_DoubleJet100er2p5
HLT_DoublePFJets200_PNetBTag_0p11_v1|SUS|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_DoubleJet120er2p5
HLT_DoublePFJets350_PNetBTag_0p11_v1|SUS|Yes||JetMET0, JetMET1, OnlineMonitor|DQM, PhysicsJetMET0, PhysicsJetMET1|L1_DoubleJet150er2p5
